image_id,label,fo_mean,fo_std,fo_variance,fo_min,fo_max,fo_median,fo_skewness,fo_kurtosis,fo_entropy,fo_energy,shape_area,shape_perimeter,shape_circularity,shape_eccentricity,shape_solidity,shape_extent,shape_major_axis,shape_minor_axis,shape_aspect_ratio,shape_convex_area,shape_equiv_diameter,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std
ISIC_0028100,pigmented benign keratosis,0.3629881212306933,0.14329075135442157,0.020532239423714665,0.0196078431372549,0.7568627450980392,0.3803921568627451,-0.27152593297536765,-0.7229231894698227,4.9488982615589725,2806.44831987697,18428.0,1401.9768388716361,0.1178165739765944,0.8243286507243335,0.481639267138862,0.3276787936982112,290.1678708412758,164.26738018814027,1.7664363460897594,38261.0,153.17721217720205,1.643753421741236,0.37516985832563987,0.17339325774661837,0.03806112222882925,0.9623462635597435,0.006239084946993555,0.9129973301268494,0.0007445592030322722,0.9224558221943786,0.01765805900693865,0.8335646791871619,0.0013594928702733784
ISIC_0027960,pigmented benign keratosis,0.3581581710682212,0.20180653683862906,0.04072587831080095,0.00392156862745098,0.9921568627450981,0.33725490196078434,0.8168852228149416,0.5950315543655886,5.244197918405961,10328.965751633987,61117.0,3660.134485334516,0.057329454060632196,0.5555265089646398,0.4917250645662196,0.40035766691122526,420.44506729985693,349.599579907427,1.2026475186588885,124291.0,278.9562353767683,3.551486232109248,0.870527829534357,0.503293064619617,0.11034191532555383,0.8728931249188296,0.019658534968416623,0.7173145312678094,0.002091465383652615,0.9471619380428087,0.012936768620529417,0.5145445109954081,0.0029995772412870643
ISIC_0025454,pigmented benign keratosis,0.33541303700204644,0.14018413974880756,0.01965159303711321,0.00392156862745098,0.8313725490196079,0.34901960784313724,-0.030452764234434188,-0.0785379642489823,4.94698297747946,5331.997201076509,40347.0,2606.0297961890215,0.07465559454366906,0.533099263399664,0.5712768668762213,0.41317972350230414,323.1058173563428,273.3645499592473,1.181959465499498,70626.0,226.6525885831212,2.4882168943392733,0.6147821844843632,0.3277184909462171,0.07414876561841059,0.9202566039762936,0.013161174065074555,0.8115745790855956,0.001589598626431156,0.9318734736426876,0.016794513283194847,0.6586558242417548,0.002579457261360508
ISIC_0025876,pigmented benign keratosis,0.37980196112825065,0.1460171028600736,0.021320994327649313,0.00392156862745098,0.9529411764705882,0.38823529411764707,0.26030120476532026,0.8752198686722132,4.980955142628614,11327.010688196846,68412.0,2427.034846822905,0.14594530460998142,0.6024917373909319,0.6489778494521653,0.4555242604023092,372.2932139632308,297.13656588315513,1.252936382490299,105415.0,295.13533122014036,2.71401547610125,0.6949170063363139,0.40043234324614324,0.09005704372412618,0.8907103565597256,0.01907399104607514,0.684818393507593,0.0017806429705260428,0.9598432175895069,0.01026686306101431,0.46897940277570904,0.002438889861975406
ISIC_0025575,pigmented benign keratosis,0.3014742680333593,0.14257826814351024,0.02032856254680271,0.0,0.8941176470588236,0.30980392156862746,-0.014699109783037581,-0.5719973372893645,4.949630750159651,5570.551787773933,50088.0,3907.2837636331833,0.041228131199093486,0.5496747548495015,0.44926002332047715,0.33156588223612354,387.4690434412796,323.68340701263776,1.197061804982025,111490.0,252.5351902541403,3.441625694946927,0.8029653597582659,0.43445612868178873,0.095443803410173,0.8983518448969948,0.016653408847570737,0.7667916824560055,0.0023185268580536767,0.905938741342503,0.021909685831219744,0.587974859850503,0.003554586485720282
ISIC_0028607,pigmented benign keratosis,0.38529192437601445,0.10242523768210063,0.010490929314234808,0.06274509803921569,0.8196078431372549,0.3843137254901961,0.20749412920444302,1.0792746979538288,4.620663262209681,1705.116862745098,10728.0,979.2457787486989,0.14058701588863265,0.9669489331044068,0.5427776372375411,0.4507563025210084,298.7738583057119,76.17840572900802,3.9220282368280333,19765.0,116.87306719650522,0.6901097865728913,0.1625134701917388,0.08578623797898749,0.018843705513415084,0.9793435457516175,0.00336904977858287,0.9501571642494093,0.00044166573172421116,0.9474425865153628,0.012392028103975558,0.9027988318430977,0.0008390231525852153
ISIC_0028347,pigmented benign keratosis,0.3148448675424295,0.1391896682908909,0.019373763758928242,0.0,0.7490196078431373,0.3215686274509804,-0.046936935366351566,-0.7558054693972562,4.928515967043209,1487.8992387543253,12556.0,1342.0996385116111,0.08759748800564264,0.9591916563328505,0.37773766546329723,0.24632165417663907,438.5392665927241,123.99992749483502,3.5366090565737682,33240.0,126.43890114871571,1.0150097704726015,0.2337299569096424,0.11976294162282093,0.02601491782311111,0.9734217012336921,0.004251649036494567,0.9415234426537611,0.0005649968528756412,0.9107648878111532,0.020637573152630578,0.8864667122880339,0.001063537934060651
ISIC_0027559,pigmented benign keratosis,0.3645222313099939,0.11060468583042805,0.012233396527647692,0.07450980392156863,0.7294117647058823,0.37254901960784315,-0.24384923713306966,-0.34430088148052196,4.716355845866264,3402.245628604383,23446.0,1840.5352800987935,0.08697417772125975,0.8119259921605012,0.46628085038681066,0.31191464452958706,337.1591580232869,196.82015878469065,1.7130316330661974,50283.0,172.77839669895258,1.7574672398422335,0.40681133544923403,0.20872223192398703,0.04485788028505312,0.9532269858309227,0.007424127167464947,0.8891065627869297,0.0009655430419904288,0.9293850953086247,0.01630934898212949,0.7905114122641544,0.0017167766642304453
ISIC_0027982,pigmented benign keratosis,0.4294420655090471,0.1596172184240248,0.025477656417422837,0.050980392156862744,0.9372549019607843,0.4392156862745098,-0.03250220244932433,-0.2701089845440863,5.086294857483111,9575.763229527105,45621.0,2052.9444430272833,0.1360254813665422,0.7738694185407107,0.6343298109010012,0.4582261952591402,375.4495047491058,237.7891359500484,1.5789178225029392,71920.0,241.01133017010395,3.028936635394475,0.7880517674788313,0.3805771246345759,0.08835033612620712,0.9053256090899633,0.015074024319006984,0.7873532051564177,0.0012224678596396295,0.9530651797299063,0.012191090974241744,0.6199265640977518,0.001924935315975153
ISIC_0028201,pigmented benign keratosis,0.34035347702431556,0.19341537160766198,0.037409505974129974,0.00392156862745098,0.9764705882352941,0.3137254901960784,0.7291419626397425,0.2688082788301345,5.222638915848594,5596.536578239139,36519.0,2297.472400982391,0.086941701381437,0.6777140092543784,0.5875850750591302,0.4025462962962963,305.956760469899,224.97783506406213,1.3599417933005633,62151.0,215.63263884250782,2.2963352325142354,0.5765963641134507,0.3307810237824862,0.07328847920612933,0.9187397008909088,0.01213161183863281,0.8303004352193235,0.0014198496844989674,0.942840841111008,0.014328819807555595,0.6894008286985246,0.0023574328339754976
